date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-08-06,3.95,3.95,3.89,3.85,20955.67,-0.07,-1.77,3.98,4.026,3.952,28685.55,32567.23,26857.01
2018-08-03,3.94,3.99,3.95,3.92,21656.29,0.01,0.25,4.008,4.032,3.953,29162.18,33078.92,26751.88
2018-08-02,4.01,4.04,3.94,3.8,44588.65,-0.11,-2.72,4.038,4.026,3.947,30899.82,32734.88,27119.69
2018-08-01,4.06,4.13,4.05,4.05,33236.44,-0.02,-0.49,4.076,4.015,3.941,31555.83,30303.27,26141.35
2018-07-31,4.04,4.11,4.07,4.04,22990.68,0.03,0.74,4.076,4.0,3.934,32095.3,29427.05,25894.53
2018-07-30,4.08,4.1,4.03,4.02,23338.83,-0.07,-1.71,4.072,3.98,3.931,36448.92,28540.42,25900.79
2018-07-27,4.13,4.13,4.1,4.06,30344.51,-0.03,-0.73,4.056,3.966,3.927,36995.66,27993.52,26045.44
2018-07-26,4.04,4.17,4.13,4.03,47868.7,0.08,1.98,4.014,3.943,3.923,34569.95,26747.37,25763.38
2018-07-25,4.05,4.09,4.05,4.01,35933.8,0.0,0.0,3.954,3.917,3.913,29050.7,24352.64,24518.06
2018-07-24,3.96,4.05,4.05,3.93,44758.77,0.1,2.53,3.924,3.89,3.908,26758.8,23792.52,23863.82
2018-07-23,3.88,3.96,3.95,3.87,26072.5,0.06,1.54,3.888,3.878,3.905,20631.91,21146.78,22839.69
2018-07-20,3.83,3.91,3.89,3.8,18215.96,0.06,1.57,3.876,3.873,3.907,18991.37,20424.84,22697.42
2018-07-19,3.91,3.91,3.83,3.82,20272.49,-0.07,-1.79,3.872,3.868,3.914,18924.79,21504.5,22914.1
2018-07-18,3.89,3.93,3.9,3.88,24474.28,0.03,0.78,3.88,3.867,3.921,19654.58,21979.43,23408.57
2018-07-17,3.9,3.9,3.87,3.83,14124.31,-0.03,-0.77,3.856,3.868,3.928,20826.24,22362.01,23901.08
2018-07-16,3.86,3.9,3.89,3.83,17869.83,0.02,0.52,3.868,3.881,3.932,21661.66,23261.17,26183.1
2018-07-13,3.88,3.91,3.87,3.84,17883.04,0.0,0.0,3.87,3.888,3.95,21858.31,24097.37,27386.51
2018-07-12,3.79,3.89,3.87,3.75,23921.44,0.08,2.11,3.864,3.903,3.978,24084.21,24779.4,27815.81
2018-07-11,3.87,3.87,3.78,3.72,30332.6,-0.15,-3.82,3.854,3.908,4.008,24304.27,24683.48,28208.8
2018-07-10,3.91,3.93,3.93,3.89,18301.39,0.03,0.77,3.88,3.925,4.048,23897.78,23935.11,27701.48
2018-07-09,3.84,3.91,3.9,3.83,18853.06,0.06,1.56,3.894,3.931,4.081,24860.67,24532.59,28033.87
2018-07-06,3.82,3.9,3.84,3.74,29012.56,0.03,0.79,3.906,3.941,4.116,26336.43,24970.0,29222.14
2018-07-05,3.93,3.94,3.82,3.8,25021.74,-0.09,-2.3,3.942,3.959,4.162,25474.59,24323.7,29235.9
2018-07-04,3.99,3.99,3.91,3.89,28300.13,-0.09,-2.25,3.962,3.975,4.214,25062.69,24837.72,29814.98
2018-07-03,3.95,4.01,4.0,3.92,23115.88,0.03,0.76,3.97,3.988,4.257,23972.44,25440.15,30257.43
2018-07-02,4.0,4.03,3.96,3.93,26231.84,-0.06,-1.49,3.968,3.982,4.292,24204.51,29105.04,30539.35
2018-06-29,3.92,4.03,4.02,3.91,24703.36,0.1,2.55,3.976,4.012,4.326,23603.58,30675.66,30649.96
2018-06-28,3.94,3.99,3.92,3.89,22962.24,-0.03,-0.76,3.976,4.053,4.359,23172.81,30852.21,30922.14
2018-06-27,3.99,4.0,3.95,3.94,22848.89,-0.04,-1.0,3.988,4.107,4.394,24612.75,31734.12,32139.04
2018-06-26,3.94,4.03,3.99,3.91,24276.22,-0.01,-0.25,4.006,4.17,4.442,26907.86,31467.85,32186.09
